Player,PPG,APG,RPG,SPG,BPG,G
Mike Conley 21 22,16.5,5.8,3.7,1.4,0.1,23
Pat Connaughton 21 22,6,1.4,3.8,0.7,0.5,25
Quinn Cook 21 22,1.7,0.3,0.3,0.1,0,15
DeMarcus Cousins 21 22,9.6,2.4,7.6,0.8,0.7,25
Robert Covington 21 22,7.6,1.8,6.2,1.6,0.9,26
Torrey Craig 21 22,2.9,0.8,2.6,0.5,0.3,15
Jae Crowder 21 22,10.3,2.2,5.2,0.9,0.2,24
Jarrett Culver 21 22,8.1,0.9,5,0.7,0.4,16
Seth Curry 21 22,13.1,2.7,1.9,0.8,0.3,22
Stephen Curry 21 22,30,6,5.3,1.2,0.1,29
Anthony Davis 21 22,22.5,3,8.4,1.3,1.8,23
Ed Davis 21 22,2.3,1,5.1,0.5,0.5,19
Terence Davis 21 22,6.8,0.9,1.6,0.5,0.1,22
DeMar DeRozan 21 22,19.8,6.9,5,0.8,0.3,25
Hamidou Diallo 21 22,12.5,2.5,5.4,1,0.4,28
Gorgui Dieng 21 22,7.7,1.4,4.8,0.8,0.7,19
Spencer Dinwiddie 21 22,6.7,3,4.3,0.7,0.3,3
Donte DiVincenzo 21 22,9.9,2.8,4.5,1.2,0.2,28
Luka Doncic 21 22,29.1,9.4,8.6,1,0.7,27
Luguentz Dort 21 22,12.5,1.4,3.5,0.9,0.3,27
Damyean Dotson 21 22,7.8,2.2,1.8,0.5,0.1,24
Devon Dotson 21 22,4,0,1,0,0,1
Sekou Doumbouya 21 22,4.1,0.6,2.4,0.4,0.1,24
PJ Dozier 21 22,7.1,1.4,4.1,0.5,0.6,17
Goran Dragić 21 22,14.4,5.3,3.1,0.5,0.1,17
Andre Drummond 21 22,17.5,2.6,13.5,1.6,1.2,25
Jared Dudley 21 22,0.5,0.2,1,0,0,6
Kevin Durant 21 22,29,5.3,7.3,0.7,1.4,19
Anthony Edwards 21 22,14.6,2.4,3.7,0.7,0.3,29
Carsen Edwards 21 22,5,0.4,1,0.3,0.1,13
CJ Elleby 21 22,3.3,0.3,1,0.3,0.3,12
Wayne Ellington 21 22,10.6,1.1,2,0.4,0.2,21
Joel Embiid 21 22,29.7,3.1,10.8,1.3,1.2,23
James Ennis 21 22,7.3,1.4,3.8,1,0.3,20
Drew Eubanks 21 22,4,0.4,3.4,0.1,1.4,11
Dante Exum 21 22,3.8,2.2,2.8,0.7,0.3,6
Tacko Fall 21 22,3.2,0,3.5,0,1.3,6
Derrick Favors 21 22,6.3,0.9,5.6,0.6,1.1,27
Cristiano Felício 21 22,1.8,0.8,2,0.3,0,6
Terrance Ferguson 21 22,0,0.3,0.1,0,0,7
Bruno Fernando 21 22,1.8,0.6,3.5,0.1,0.1,15
Yogi Ferrell 21 22,9.5,2.5,3.5,1.5,0.5,2
Dorian Finney-Smith 21 22,9.1,1.2,4.8,1,0.4,19
Malachi Flynn 21 22,2.2,1.2,0.7,0.3,0,13
Bryn Forbes 21 22,9.5,0.5,1.1,0.3,0,28
Trent Forrest 21 22,0.5,0.3,0.3,0.5,0,4
Evan Fournier 21 22,17.9,3.6,2.5,1,0.4,15
De'Aaron Fox 21 22,23.2,6.8,3.3,1.2,0.5,26
Tim Frazier 21 22,1.3,2.3,1.3,0.3,0,3
Markelle Fultz 21 22,12.9,5.4,3.1,1,0.3,8
Wenyen Gabriel 21 22,0,0.3,1.3,0,0,3
Daniel Gafford 21 22,5.3,0.7,3.3,0.5,1.3,23
Danilo Gallinari 21 22,10.7,1.1,2.9,0.2,0.1,16
Langston Galloway 21 22,4.7,0.7,1.1,0.2,0,22
Darius Garland 21 22,15.9,5.3,2.2,1,0.1,21
Marc Gasol 21 22,4.2,1.8,4.2,0.4,1.2,29
Rudy Gay 21 22,11.2,1.5,5.2,0.7,0.5,26
Paul George 21 22,24.4,5.5,6.2,1.2,0.5,20
Taj Gibson 21 22,3,0.5,3.1,0.3,0.4,8
Harry Giles 21 22,3.1,0.9,4.9,0.2,0.4,22
Shai Gilgeous-Alexander 21 22,22.5,6.5,5.4,0.8,0.6,22
Anthony Gill 21 22,1,0.3,1.9,0.3,0.2,10
Rudy Gobert 21 22,14.2,1.3,13.4,0.4,2.7,29
Brandon Goodwin 21 22,4.4,2,1.2,0.5,0,22
Aaron Gordon 21 22,13.8,4.2,7.2,0.7,0.8,19
Eric Gordon 21 22,18.7,2.7,2.2,0.5,0.5,22
Devonte' Graham 21 22,13.7,5.7,3,1,0,25
Jerami Grant 21 22,23.8,2.9,5.3,0.8,1.2,28
Danny Green 21 22,8.7,1.7,3.7,1.1,0.7,29
Draymond Green 21 22,5.2,8.3,5.6,1.4,0.6,24
JaMychal Green 21 22,9.4,1,6.3,0.6,0.3,24
Javonte Green 21 22,4.9,0.4,2.5,0.9,0.1,18
Jeff Green 21 22,9.7,1.4,3.7,0.7,0.3,30
Josh Green 21 22,2.5,0.6,2.3,0.2,0.1,17
Blake Griffin 21 22,12.3,3.9,5.2,0.7,0.1,20
Kyle Guy 21 22,2.9,1.3,1.2,0.4,0,10
Rui Hachimura 21 22,13.2,2,5.4,0.6,0.1,19
Ashton Hagans 21 22,0,0,0,0,0,2
Tyrese Haliburton 21 22,12.4,5.2,3.6,1.2,0.6,25
Josh Hall 21 22,1.7,1,1.3,0,0,7
R.J. Hampton 21 22,2.2,0.5,1.9,0.2,0.1,21
Tim Hardaway Jr. 21 22,16.7,1.6,3.2,0.7,0.1,27
James Harden 21 22,24.5,11.3,7.3,1,0.8,24
James Harden 21 22,24.8,10.4,5.1,0.9,0.8,8
James Harden 21 22,24.3,11.8,8.4,1.1,0.8,16
Maurice Harkless 21 22,1.2,0.7,0.9,0.2,0.3,10
Jared Harper 21 22,1,0,0,0,0,2
Montrezl Harrell 21 22,13.3,1.1,6.3,0.7,0.7,29
Gary Harris 21 22,9.7,1.7,2.5,0.9,0.2,19
Jalen Harris 21 22,0,0,0.5,0,0,2
Joe Harris 21 22,14.9,1.9,3.5,0.5,0.2,30
Tobias Harris 21 22,20.8,3.1,7.7,0.8,0.8,26
Shaquille Harrison 21 22,1.1,0.5,0.6,0.1,0,16
Josh Hart 21 22,8.9,2.1,7.5,0.8,0.2,28
Isaiah Hartenstein 21 22,4.2,0.6,2.8,0.4,0.7,18
Jaxson Hayes 21 22,4.2,0.4,3.6,0.3,0.3,21
Killian Hayes 21 22,4.6,3.6,1.1,0.3,0,7
Gordon Hayward 21 22,22.3,3.8,5.5,1.1,0.4,26
Juan Hernangómez 21 22,6.4,0.5,5,0.4,0.2,13
Willy Hernangómez 21 22,6.8,1.2,6.5,0.5,0.4,13
Tyler Herro 21 22,17,3.9,6.3,0.5,0.5,20
Buddy Hield 21 22,16.1,3,4.8,0.9,0.3,27
George Hill 21 22,11.8,3.1,2.1,0.9,0.1,14
Solomon Hill 21 22,4.4,0.9,2.3,0.6,0.2,28
Nate Hinton 21 22,1.3,0,0,0.2,0.2,6
Aaron Holiday 21 22,7.4,1.8,1.3,0.5,0.1,29
Jrue Holiday 21 22,16.4,5.4,4.8,1.9,0.6,23
Justin Holiday 21 22,11.5,1.7,4.2,1.2,0.3,29
Richaun Holmes 21 22,12.8,1.8,7.7,0.7,1.6,25
Rodney Hood 21 22,5,1.2,1.7,0.7,0.1,23
Al Horford 21 22,14.7,3.6,6.9,0.9,0.8,19
Talen Horton-Tucker 21 22,6.8,1.8,2.4,0.8,0.5,25
Danuel House 21 22,8.9,2.1,3.6,0.8,0.5,17
Dwight Howard 21 22,5.9,0.7,7.7,0.4,0.9,29
Markus Howard 21 22,1.1,0.4,0.4,0.1,0,14
Kevin Huerter 21 22,12,3.8,3.6,1.2,0.2,28
Elijah Hughes 21 22,2.7,0.5,0.7,0.2,0.2,6
De'Andre Hunter 21 22,17.2,2.2,5.4,0.9,0.5,18
Chandler Hutchison 21 22,1.9,0.6,2.9,0.1,0,7
Serge Ibaka 21 22,11.8,1.7,6.7,0.2,1.2,29
Andre Iguodala 21 22,4.4,2.3,3.6,1,0.5,26
Joe Ingles 21 22,11.8,4.7,3.5,0.4,0.2,25
Brandon Ingram 21 22,23.6,4.8,5.4,0.6,0.9,28
Kyrie Irving 21 22,28.3,5.7,4.6,1.1,0.8,20
Wesley Iwundu 21 22,2.2,0.5,1.9,0.4,0.1,17
Frank Jackson 21 22,1.6,1.1,0.7,0.1,0,7
Josh Jackson 21 22,12.8,1.9,4,1,0.9,26
Justin Jackson 21 22,7.8,1.8,2.4,0.4,0.1,18
Reggie Jackson 21 22,8.6,3.3,2.7,0.7,0.1,27
Justin James 21 22,1.6,0.4,0.9,0.1,0.1,8
LeBron James 21 22,25.7,7.9,8.2,1,0.5,29
DaQuan Jeffries 21 22,2,0.7,2,1,0.7,3
Isaiah Joe 21 22,5,0.9,1.2,0.4,0.3,16
Cameron Johnson 21 22,10.7,1.5,3.6,0.6,0.3,27
James Johnson 21 22,6.4,1.6,3.1,0.9,0.8,23
Keldon Johnson 21 22,14.5,2.3,7,0.8,0.5,27
Stanley Johnson 21 22,3,1.4,2.5,0.8,0.3,25
Tyler Johnson 21 22,4.5,0.8,1.2,0.3,0,13
Nikola Jokic 21 22,27.4,8.6,11.1,1.6,0.6,28
Damian Jones 21 22,1.2,0,1.5,0.1,0.5,11
Derrick Jones Jr. 21 22,7.6,0.7,4.7,0.8,0.9,24
Mason Jones 21 22,5.6,1.3,2,0.3,0,18
Tre Jones 21 22,2,0.1,0.4,0,0,9
Tyus Jones 21 22,7.7,5.3,2.8,1.3,0.1,24
DeAndre Jordan 21 22,7.2,1.9,7,0.3,1.4,28
Cory Joseph 21 22,6.8,2.4,2.1,0.8,0.2,27
Mfiondu Kabengele 21 22,1,0.2,0.6,0.1,0.1,17
Frank Kaminsky 21 22,6.7,2,4.5,0.2,0.5,20
Enes Kanter 21 22,11.5,1.1,11.1,0.5,0.8,28
Luke Kennard 21 22,8,1.8,2.9,0.3,0.2,29
Maxi Kleber 21 22,7.1,1.5,5.4,0.4,0.8,17
Nathan Knight 21 22,3.1,0.1,1.6,0.2,0.3,9
Kevin Knox 21 22,5.3,0.7,2.1,0.3,0.3,23
John Konchar 21 22,4.4,1.1,3.8,1.1,0.3,16
Furkan Korkmaz 21 22,7.6,0.8,2.6,0.7,0.1,18
Luke Kornet 21 22,1.5,0.3,1.5,0.3,0.2,6
Rodions Kurucs 21 22,1.1,0.3,0.9,0.4,0.1,14
Rodions Kurucs 21 22,0.6,0.4,0.6,0,0,5
Rodions Kurucs 21 22,1.4,0.2,1,0.6,0.2,9
Kyle Kuzma 21 22,10.8,1.1,6,0.3,0.7,29
Jeremy Lamb 21 22,12.4,1.6,4.3,0.9,0.5,16
Zach LaVine 21 22,28.5,5.2,5.5,1.1,0.4,27
Jake Layman 21 22,6.3,0.5,1.5,0.9,0.5,19
Jalen Lecque 21 22,1.7,0.7,1.3,0,0,3
Damion Lee 21 22,6.2,1.5,3.3,0.6,0.1,29
Saben Lee 21 22,2.3,1,0.4,0.5,0.1,8
Alex Len 21 22,6,1.1,3.5,0.4,1.1,20
Alex Len 21 22,2.3,0.4,1.6,0.1,0.9,7
Alex Len 21 22,8,1.4,4.5,0.5,1.2,13
Kawhi Leonard 21 22,26.7,5,5.9,1.8,0.6,23
Meyers Leonard 21 22,3.3,0.7,2.3,0,0,3
Caris LeVert 21 22,18.5,6,4.3,1.1,0.5,12
Kira Lewis Jr. 21 22,5.5,1.8,0.9,0.6,0.1,17
Damian Lillard 21 22,29.8,7.7,4.4,1.1,0.3,27
Nassir Little 21 22,4.8,0.2,2,0.2,0.3,13
Kevon Looney 21 22,3.7,1.8,4.1,0.3,0.3,21
Brook Lopez 21 22,10.8,0.6,5.1,0.5,1.3,28
Robin Lopez 21 22,8,1,4.2,0.2,0.5,26
Kevin Love 21 22,9.5,2.5,6,0.5,0,2
Kyle Lowry 21 22,17.7,6.4,5.4,1.2,0.2,25
Timothé Luwawu-Cabarrot 21 22,7.3,1.3,2.4,0.6,0.2,30
Trey Lyles 21 22,3.5,0.5,3.1,0,0,14
Thon Maker 21 22,3.8,0.5,2.3,0.3,0.5,8
Théo Maledon 21 22,7.8,2.8,2.7,1,0,23
Karim Mané 21 22,1.2,0.2,1.7,0,0.2,6
Terance Mann 21 22,4.3,1.1,3.3,0.5,0.2,27
Nico Mannion 21 22,1.5,2,1.3,0.3,0,6
Boban Marjanović 21 22,4.3,0.1,3.3,0,0,15
Lauri Markkanen 21 22,19.1,0.9,6.1,0.6,0.4,14
Naji Marshall 21 22,0.3,0.3,0.7,0,0,3
Caleb Martin 21 22,5.6,1.3,2.8,0.9,0.3,23
Cody Martin 21 22,3,0.9,2,0.4,0,17
Kelan Martin 21 22,1.3,0,1,0.2,0,11
Kenyon Martin Jr. 21 22,3.3,0.6,2.7,0.3,0.7,7
Frank Mason III 21 22,6.3,3,3,0,0,4
Garrison Mathews 21 22,7,0.5,1.5,0.9,0.2,20
Dakota Mathias 21 22,6,1.6,0.9,0.1,0.4,8
Wesley Matthews 21 22,5.1,1.1,1.4,0.5,0.4,22
Tyrese Maxey 21 22,8.7,1.7,1.9,0.5,0.1,28
Skylar Mays 21 22,3.8,0.7,0.8,0.2,0,10
CJ McCollum 21 22,26.7,5,3.9,1.3,0.3,13
T.J. McConnell 21 22,5.8,6.6,3.3,1.7,0.4,26
Jaden McDaniels 21 22,5.4,1,3.3,0.3,1.1,23
Jalen McDaniels 21 22,4.1,0.6,2.1,0.2,0,10
Doug McDermott 21 22,13.1,1.4,4.1,0.3,0.1,28
Sean McDermott 21 22,3.7,0.5,1.3,0.2,0.2,6
JaVale McGee 21 22,7.8,1,5.6,0.5,1.2,20
Rodney McGruder 21 22,3,0.8,1.1,0,0.1,8
Alfonzo McKinnie 21 22,1.8,0.1,0.9,0.1,0,14
Jordan McLaughlin 21 22,5.3,4.6,2.2,1,0.2,17
Ben McLemore 21 22,6.4,1,2.2,0.6,0.1,20
Nicolò Melli 21 22,2,0.9,2.1,0.5,0.1,13
De'Anthony Melton 21 22,10,3.2,3,0.9,1,12
Sam Merrill 21 22,1.6,1.1,1.1,0.1,0,9
Chimezie Metu 21 22,3.4,0.5,2.1,0.3,0.5,11
Khris Middleton 21 22,20.3,5.8,5.8,1,0.1,28
Darius Miller 21 22,2.8,0.8,1.3,0.4,0.3,12
Patty Mills 21 22,13.2,2.7,1.9,0.7,0,27
Paul Millsap 21 22,10.4,1.7,5.2,0.8,0.5,26
Shake Milton 21 22,14,3,1.9,0.7,0.2,22
Donovan Mitchell 21 22,24.2,5.1,4.4,0.9,0.4,27
Adam Mokoka 21 22,1.6,0.6,0.6,0.3,0.1,7
Malik Monk 21 22,10.5,1.8,2.3,0.3,0.1,15
E'Twaun Moore 21 22,5.4,1.6,1.4,0.8,0.1,14
Ja Morant 21 22,18.8,8.3,3.1,0.9,0.3,16
Juwan Morgan 21 22,1.3,0.3,1.1,0.3,0,12
Marcus Morris 21 22,13.2,0.9,3.8,0.6,0.3,21
Markieff Morris 21 22,4.6,0.9,3.5,0.2,0.3,23
Monte Morris 21 22,10.8,3.3,2.1,0.7,0.3,27
Mychal Mulder 21 22,4.3,0.4,0.9,0.2,0.2,28
Dejounte Murray 21 22,15.1,5,7.2,1.6,0.1,27
Jamal Murray 21 22,19.4,4.5,4.3,1.1,0.3,26
Mike Muscala 21 22,9.9,0.9,3.7,0.3,0.3,26
Sviatoslav Mykhailiuk 21 22,6.4,1.2,1.9,0.6,0.2,27
Abdel Nader 21 22,7.2,0.9,2.4,0.4,0.1,12
Larry Nance Jr. 21 22,9.3,3.2,6.8,1.9,0.5,19
Aaron Nesmith 21 22,3.8,0.5,2.3,0,0.3,13
Raul Neto 21 22,8,1.7,2.2,1,0.1,21
Georges Niang 21 22,4.9,0.8,2.2,0.4,0.1,29
Zeke Nnaji 21 22,2.9,0,0.9,0.1,0.1,15
Nerlens Noel 21 22,4,0.5,5.3,0.9,1.9,25
Jaylen Nowell 21 22,9.7,0.9,1.7,0.4,0.3,15
Frank Ntilikina 21 22,4.5,0.8,1,0.8,0,4
Kendrick Nunn 21 22,13.7,2.3,3.2,1.1,0.2,20
Jusuf Nurkić 21 22,9.8,2.8,7.7,0.9,0.9,12
David Nwaba 21 22,8.8,1.1,3.7,1.1,0.8,24
Jordan Nwora 21 22,5.1,0,1.5,0.4,0.2,10
Royce O'Neale 21 22,7.9,2.3,6.9,0.8,0.7,29
Semi Ojeleye 21 22,5.9,0.9,3.1,0.3,0,27
Jahlil Okafor 21 22,4.3,0.3,2.3,0.2,0.2,12
Chuma Okeke 21 22,4.3,2.1,3.4,0.8,0.3,13
Josh Okogie 21 22,5,1.2,2.6,0.8,0.6,23
Onyeka Okongwu 21 22,3,0.4,2.8,0.4,0.7,9
Isaac Okoro 21 22,7.5,1.9,2.4,1.1,0.4,24
KZ Okpala 21 22,2.4,0.4,1.4,0.2,0.1,14
Victor Oladipo 21 22,19.1,4.6,5.2,1.4,0.4,20
Victor Oladipo 21 22,20,4.2,5.7,1.7,0.2,9
Victor Oladipo 21 22,18.4,4.9,4.8,1.1,0.5,11
Kelly Olynyk 21 22,9.9,2,5.8,0.8,0.7,27
Miye Oni 21 22,1.5,0.3,1.8,0.1,0.2,23
Cedi Osman 21 22,11.5,2.6,3.3,0.9,0.1,29
Daniel Oturu 21 22,2,0.4,1.4,0,0.3,10
Kelly Oubre Jr. 21 22,14.2,1.4,5.9,1.1,0.8,29
Eric Paschall 21 22,10,1.3,3.4,0.2,0.1,26
Anžejs Pasečņiks 21 22,0,1,1,0,0,1
Patrick Patterson 21 22,4.5,0.5,2,0.3,0.1,10
Chris Paul 21 22,17.2,8.2,4.7,1.2,0.3,26
Cameron Payne 21 22,6.6,3.6,1.9,0.6,0.2,16
Elfrid Payton 21 22,12.2,3.6,3.8,0.6,0.2,30
Norvel Pelle 21 22,2,0,2.3,0,1,3
Reggie Perry 21 22,3.6,0.9,3.6,0.1,0.4,14
Theo Pinson 21 22,0.2,0,0.1,0,0,9
Mason Plumlee 21 22,10.2,3.4,8.8,0.9,0.7,26
Jakob Poeltl 21 22,6.4,1.7,7,0.6,1.5,27
Vincent Poirier 21 22,1,0.3,1,0,0.5,4
Aleksej Pokusevski 21 22,3.3,1.2,3.5,0.5,1.1,17
Jordan Poole 21 22,5.5,0.9,1.2,0.2,0.1,15
Michael Porter Jr. 21 22,13.7,1.1,6.1,1.1,1.2,18
Otto Porter 21 22,11.6,2,6.3,0.6,0.2,16
Bobby Portis 21 22,11.8,1.1,7.3,0.9,0.4,28
Kristaps Porziņģis 21 22,20.5,1.3,8.2,0.4,1.6,17
Dwight Powell 21 22,4.7,0.9,3.6,0.8,0.4,17
Norman Powell 21 22,16.3,1.5,2.9,1.1,0.2,26
Taurean Prince 21 22,8.7,1.7,3.6,0.7,0.7,27
Taurean Prince 21 22,8.1,0.6,2.8,0.7,0.7,12
Taurean Prince 21 22,9.2,2.6,4.3,0.7,0.7,15
Payton Pritchard 21 22,8,2.4,2.5,0.6,0.2,22
Immanuel Quickley 21 22,12.4,2.7,2.3,0.4,0.3,26
Jahmi'us Ramsey 21 22,1.3,0.3,1,0,0.3,4
Chasson Randle 21 22,2,5,2,0,0,1
Julius Randle 21 22,23.2,5.5,10.9,0.7,0.2,30
Cam Reddish 21 22,11.5,1.4,4,1.1,0.3,24
J.J. Redick 21 22,8.2,1.1,1.5,0.3,0.1,25
Paul Reed 21 22,3.6,0.6,2,0.2,0.8,5
Naz Reid 21 22,12.5,1.3,4.9,0.7,1.2,27
Nick Richards 21 22,1.4,0,0.8,0,0,8
Josh Richardson 21 22,12.5,2.7,2.9,0.8,0.2,19
Austin Rivers 21 22,7.3,2,2.2,0.6,0,21
Duncan Robinson 21 22,12.6,1.5,3.8,0.4,0.3,28
Glenn Robinson III 21 22,5.3,0.9,1.6,0.1,0.1,22
Jerome Robinson 21 22,5.2,1.4,2.5,0.5,0.2,13
Mitchell Robinson 21 22,8.4,0.5,8.4,1.2,1.5,27
Isaiah Roby 21 22,8.5,1.5,5.2,0.7,0.6,22
Rajon Rondo 21 22,3.4,3.9,2.3,0.6,0.1,14
Derrick Rose 21 22,13.5,4,2.2,1.2,0.4,20
Derrick Rose 21 22,14.2,4.2,1.9,1.2,0.3,15
Derrick Rose 21 22,11.2,3.4,2.8,1,0.6,5
Terrence Ross 21 22,15.3,2.1,3.2,1,0.5,28
Terry Rozier 21 22,20.6,3,4.1,1.3,0.5,26
Ricky Rubio 21 22,7.2,6.5,3.4,1.3,0,27
D'Angelo Russell 21 22,19.3,5.1,2.6,1.1,0.5,20
Domantas Sabonis 21 22,21.5,5.7,11.6,1,0.7,29
Luka Šamanić 21 22,1.8,0,0,0,0,4
JaKarr Sampson 21 22,2.3,0,2,0.1,0.2,13
Dario Šarić 21 22,10.4,1.2,4,1,0.2,10
Tomáš Satoranský 21 22,6.4,4.9,2.7,0.6,0.2,16
Dennis Schröder 21 22,14.2,4.3,3.6,0.9,0.2,29
Mike Scott 21 22,4.1,0.1,2.6,0.3,0.2,11
Collin Sexton 21 22,22.8,4.3,2.5,1.1,0.2,24
Landry Shamet 21 22,7.4,1.3,1.5,0.5,0.2,26
Pascal Siakam 21 22,20.6,4.5,7.8,1.2,0.6,25
Chris Silva 21 22,3.8,1,3,0.2,0.3,6
Ben Simmons 21 22,15.2,8,8.3,1.7,0.8,25
Anfernee Simons 21 22,9,1.2,2.3,0.2,0.2,25
Deividas Sirvydis 21 22,0,0.3,0,0,0,4
Marcus Smart 21 22,13.1,6.1,2.8,1.8,0.5,17
Dennis Smith Jr. 21 22,4.6,1.6,1.1,0.4,0.1,7
Dennis Smith Jr. 21 22,3,1,0.7,1,0,3
Dennis Smith Jr. 21 22,5.8,2,1.5,0,0.3,4
Ish Smith 21 22,5.2,4.7,3.5,0.8,0.2,19
Jalen Smith 21 22,1.8,0.3,1.3,0,0.3,8
Tony Snell 21 22,3.1,0.9,1.6,0.1,0.1,15
Ray Spalding 21 22,2,0,2,0,1,2
Cassius Stanley 21 22,1.1,0,0.4,0,0.3,8
Lamar Stevens 21 22,4.6,1.1,2.6,0.4,0.3,18
Isaiah Stewart 21 22,5.2,0.7,5.4,0.5,0.9,26
Max Strus 21 22,7.3,0.5,1.1,0.1,0,16
Edmond Sumner 21 22,3.9,0.5,1.3,0.5,0.1,16
Jae'Sean Tate 21 22,9.9,1.8,5.1,0.9,0.6,28
Jayson Tatum 21 22,25.8,4.7,7,1.3,0.4,23
Jeff Teague 21 22,5.5,2,1.6,0.9,0.1,23
Garrett Temple 21 22,8.8,2,3.1,1.1,0.5,26
Tyrell Terry 21 22,1,0.5,0.5,0.5,0,11
Daniel Theis 21 22,9.3,1.4,5.1,0.6,1,26
Brodric Thomas 21 22,2.5,1,1,0.3,0.3,4
Matt Thomas 21 22,2.5,0.4,0.6,0.1,0,14
Tristan Thompson 21 22,7,0.8,8.3,0.3,0.3,26
Sindarius Thornwell 21 22,1.3,0.2,0.3,0.4,0,10
Matisse Thybulle 21 22,3.3,0.8,1.3,1.6,0.8,26
Xavier Tillman Sr. 21 22,7.9,1.6,4.5,1,0.6,19
Obi Toppin 21 22,4.9,0.5,2.4,0.2,0.5,20
Juan Toscano-Anderson 21 22,6.6,2.3,4.8,0.6,0.7,16
Karl-Anthony Towns 21 22,21.8,3.3,10.6,1,1.9,9
Gary Trent Jr. 21 22,15.3,1.4,2.1,0.7,0.2,26
P.J. Tucker 21 22,4.7,1.4,4.6,0.8,0.5,26
Myles Turner 21 22,13.2,1,6.6,1.1,3.5,27
Jonas Valančiūnas 21 22,16.5,2.1,10.8,0.6,0.8,19
Denzel Valentine 21 22,8.5,1.8,3.9,0.7,0,23
Jarred Vanderbilt 21 22,6,1.7,6,1.1,0.7,27
Fred VanVleet 21 22,20.4,6.6,4.2,1.7,0.7,28
Devin Vassell 21 22,5.5,1.1,3.2,1.1,0.3,26
Gabe Vincent 21 22,6.3,1.5,1.2,0.4,0.1,18
Noah Vonleh 21 22,0,0.3,0.3,0,0,3
Nikola Vučević 21 22,23.4,3.4,11.6,1.1,0.6,29
Dean Wade 21 22,2.1,0.4,1.3,0.2,0.1,23
Moritz Wagner 21 22,6.1,0.9,3.1,0.6,0.3,14
Kemba Walker 21 22,16.4,4,3.7,1.1,0.2,13
Lonnie Walker 21 22,10.8,1.7,2.9,0.5,0.4,25
John Wall 21 22,20.4,6.3,3.7,1,0.7,19
Brad Wanamaker 21 22,4.3,2.7,1.8,0.8,0.1,29
T.J. Warren 21 22,15.5,1.3,3.5,0.5,0,4
P.J. Washington 21 22,11.2,3,6.5,0.9,1.3,24
Yuta Watanabe 21 22,3.1,0.4,3.3,0.5,0.6,18
Tremont Waters 21 22,2.4,2.8,0.9,0.6,0,9
Paul Watson 21 22,2,0.2,0.7,0,0.2,13
Quinndary Weatherspoon 21 22,0.8,0.6,0.4,0.2,0,5
Russell Westbrook 21 22,18.9,9.5,9.4,0.8,0.4,19
Coby White 21 22,15.4,5.4,4.7,0.4,0.1,27
Derrick White 21 22,11.8,3.9,1.8,1,1,8
Hassan Whiteside 21 22,8.4,0.5,5.7,0.3,1.4,20
Andrew Wiggins 21 22,17.7,2.1,4.8,0.7,1.3,29
Grant Williams 21 22,5.4,1,3,0.5,0.4,24
Kenrich Williams 21 22,5.6,1.7,3.9,0.8,0.2,28
Lou Williams 21 22,12.4,3.9,2.4,0.8,0.1,28
Patrick Williams 21 22,10.1,1.1,4.6,0.7,0.7,26
Robert Williams 21 22,6.1,0.8,5.3,1,1.1,21
Zion Williamson 21 22,25,3.1,6.8,1,0.7,27
D.J. Wilson 21 22,3.7,0.3,2.2,0.1,0.3,10
Dylan Windler 21 22,6,1.2,3.7,0.6,0.5,15
Cassius Winston 21 22,2.2,1,0.7,0,0.2,6
James Wiseman 21 22,12.2,0.7,6.1,0.4,1.3,20
Christian Wood 21 22,22,1.3,10.2,0.9,1.5,17
Robert Woodard 21 22,2.2,0,1.3,0,0,6
Delon Wright 21 22,10.5,4.9,4.6,1.4,0.5,28
Thaddeus Young 21 22,11.2,4.4,5.8,1.4,0.5,23
Trae Young 21 22,26.5,9.3,3.8,0.8,0.3,26
Cody Zeller 21 22,10.1,2.5,8,0.7,0.6,15
Ivica Zubac 21 22,8.3,1.1,6.6,0.4,0.8,30
Jayson Tatum 22 23,30.06756757,4.621621622,8.77027027,1.054054054,0.689189189,74
Joel Embiid 22 23,33.07575758,4.151515152,10.15151515,1,1.696969697,66
Luka Doncic 22 23,32.39393939,8.015151515,8.621212121,1.363636364,0.5,66
Shai Gilgeous-Alexander 22 23,31.39705882,5.455882353,4.838235294,1.647058824,0.955882353,68
Giannis Antetokounmpo 22 23,31.0952381,5.698412698,11.77777778,0.825396825,0.80952381,63
Anthony Edwards 22 23,24.63291139,4.430379747,5.797468354,1.582278481,0.734177215,79
Julius Randle 22 23,25.14285714,4.103896104,9.961038961,0.636363636,0.272727273,77
Donovan Mitchell 22 23,28.26470588,4.426470588,4.25,1.455882353,0.397058824,68
Trae Young 22 23,26.21917808,10.15068493,2.97260274,1.095890411,0.123287671,73
Zach LaVine 22 23,24.84415584,4.246753247,4.480519481,0.896103896,0.233766234,77
Damian Lillard 22 23,32.17241379,7.327586207,4.775862069,0.862068966,0.310344828,58
De'Aaron Fox 22 23,25.01369863,6.123287671,4.191780822,1.136986301,0.315068493,73
DeMar DeRozan 22 23,24.54054054,5.094594595,4.635135135,1.121621622,0.486486486,74
Jaylen Brown 22 23,26.62686567,3.462686567,6.850746269,1.119402985,0.388059701,67
Pascal Siakam 22 23,24.22535211,5.845070423,7.830985915,0.915492958,0.507042254,71
