Player,PPG,APG,RPG,SPG,BPG,G
Tyler Johnson 19 20,5.7,1.6,1.7,0.4,0.3,31
Tyler Johnson 19 20,12,3,3,0.5,0.1,8
Nikola Jokic 19 20,19.9,7,9.7,1.2,0.6,73
Damian Jones 19 20,5.6,0.6,3.7,0.5,0.7,55
Derrick Jones Jr. 19 20,8.5,1.1,3.9,1,0.6,59
Tyus Jones 19 20,7.4,4.4,1.6,0.9,0.1,65
DeAndre Jordan 19 20,8.3,1.9,10,0.3,0.9,56
Cory Joseph 19 20,6.4,3.5,2.6,0.7,0.3,72
Mfiondu Kabengele 19 20,3.5,0.2,0.9,0.2,0.2,12
Frank Kaminsky 19 20,9.7,1.9,4.5,0.4,0.3,39
Enes Kanter 19 20,8.1,1,7.4,0.4,0.7,58
Luke Kennard 19 20,15.8,4.1,3.5,0.4,0.2,28
Stanton Kidd 19 20,0,0.3,0.8,0,0,4
Michael Kidd-Gilchrist 19 20,2.4,0.6,2.7,0.1,0.2,25
Michael Kidd-Gilchrist 19 20,4,0.8,2.9,0,0.3,12
Michael Kidd-Gilchrist 19 20,0.9,0.3,2.5,0.2,0.2,13
Louis King 19 20,2,0.5,1,0.2,0,10
Maxi Kleber 19 20,9.1,1.2,5.2,0.3,1.1,74
Brandon Knight 19 20,7.3,2.8,1.6,0.4,0.1,25
Brandon Knight 19 20,4.9,1.9,1.3,0.3,0.1,16
Brandon Knight 19 20,11.6,4.2,2.3,0.6,0.1,9
Kevin Knox 19 20,6.4,0.9,2.8,0.4,0.4,65
John Konchar 19 20,2.8,1.2,2.5,0.4,0.2,19
Furkan Korkmaz 19 20,9.8,1.1,2.3,0.6,0.2,72
Luke Kornet 19 20,6,0.9,2.3,0.3,0.7,36
Kyle Korver 19 20,6.7,1.2,2.1,0.4,0.2,58
Rodions Kurucs 19 20,4.6,1.1,2.9,0.5,0.1,47
Kyle Kuzma 19 20,12.8,1.3,4.5,0.5,0.4,61
Skal Labissière 19 20,5.8,1.3,5.1,0.2,0.9,33
Jeremy Lamb 19 20,12.5,2.1,4.3,1.2,0.5,46
Romeo Langford 19 20,2.5,0.4,1.3,0.3,0.3,32
Zach LaVine 19 20,25.5,4.2,4.8,1.5,0.5,60
Vic Law 19 20,1.9,0.4,1.4,0.3,0,8
Jake Layman 19 20,9.1,0.7,2.5,0.7,0.4,23
T.J. Leaf 19 20,3,0.3,2.5,0.4,0.1,28
Jalen Lecque 19 20,2,0.4,0.4,0,0,5
Courtney Lee 19 20,4.5,0.5,1.3,0.8,0.3,24
Damion Lee 19 20,12.7,2.7,4.9,1,0.1,49
Alex Len 19 20,8,0.9,5.8,0.4,0.9,55
Alex Len 19 20,8.7,1.1,5.8,0.5,0.8,40
Alex Len 19 20,5.9,0.5,6.1,0.2,1,15
Kawhi Leonard 19 20,27.1,4.9,7.1,1.8,0.6,57
Meyers Leonard 19 20,6.1,1.1,5.1,0.3,0.3,51
